"MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_SHANNON","MMDH_SHANNON_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_NCO_RICH","MMDH_NCO_RICH_SCORE","MACRO_SPECIES_SAMP_INF_HIST_ID","MMDH_PCT_DOMINANCE_3","MMDH_PCT_DOMINANCE_3_SCORE"
20,5.59,"9","6.82",6.44,5.07,"3.50194090700991","6.25",5.93,"","","","","","","09-REGI-2.3_20140813_5_3","",""
21,5.88,"10","7.27",6.15,5.44,"3.40507764701904","6.01",6.15,"","","","","","","09-REGI-2.3_20140813_5_4","",""
21,5.88,"8","6.36",5.77,5.91,"3.72074750105742","6.8",6.24,"","","","","","","09-REGI-2.3_20150820_5_1","",""
20,5.59,"8","6.36",6.17,5.41,"3.58163142137093","6.45",5.95,"","","","","","","09-REGI-2.3_20150820_5_2","",""
12,3.09,"7","5.91",5.54,6.2,"2.80126936292225","4.5",4.92,"","","","","","","09-REGI-2.3_20150820_5_3","",""
11,2.79,"8","6.36",6.32,5.22,"1.68742746551281","1.72",4.02,"","","","","","","09-REGI-2.3_20150820_5_4","",""
12,3.09,"6","5.45",6.17,5.41,"2.88197264311752","4.7",4.66,"","","","","","","09-REGI-2.3_20160706_5_1","",""
11,2.79,"6","5.45",5.72,5.98,"2.30738054890351","3.27",4.37,"","","","","","","09-REGI-2.3_20160706_5_2","",""
16,4.26,"10","7.27",5.95,5.69,"3.0627417596508","5.16",5.6,"","","","","","","09-REGI-2.3_20160706_5_3","",""
13,3.38,"10","7.27",5.48,6.27,"2.83534798113047","4.59",5.38,"","","","","","","09-REGI-2.3_20160706_5_4","",""
12,3.09,"5","4.72",6.27,5.29,"1.76985400743626","1.92",3.76,"","","","","","","09-REGI-2.3_20160810_5_1","",""
12,3.09,"4","4.17",6.55,4.94,"2.05909418458628","2.65",3.71,"","","","","","","09-REGI-2.3_20160810_5_2","",""
16,4.26,"10","7.27",6.3,5.25,"1.80064693941216","2",4.7,"","","","","","","09-REGI-2.3_20160810_5_3","",""
14,3.68,"9","6.82",6.21,5.36,"1.71865650964491","1.8",4.42,"","","","","","","09-REGI-2.3_20160810_5_4","",""
5,0,"3","3.61",6.86,4.55,"0.938284748067291","0",2.04,"","","","","","","09-REGI-2.3_20160915_5_1","",""
10,2.27,"5","4.72",6.71,4.74,"1.2712445406714","0.68",3.1,"","","","","","","09-REGI-2.3_20160915_5_2","",""
12,3.09,"6","5.45",6.42,5.1,"2.36140632972184","3.4",4.26,"","","","","","","09-REGI-2.3_20160915_5_3","",""
12,3.09,"6","5.45",6.82,4.6,"1.16000426195475","0.4",3.38,"","","","","","","09-REGI-2.3_20160915_5_4","",""
25,7.06,"14","9.5",6.04,5.58,"2.46024459944967","3.65",6.45,"","","","","","","09-REGI-2.3_20170816_5_1","",""
17,4.56,"10","7.27",5.73,5.96,"2.90472139284283","4.76",5.64,"","","","","","","09-REGI-2.3_20170816_5_2","",""
17,4.56,"11","8",6.43,5.09,"2.42610456937027","3.57",5.3,"","","","","","","09-REGI-2.3_20180830_5_1","",""
4,0,"3","3.61",6.7,4.75,"0.822574662604348","0",2.09,"","","","","","","09-REGI-2.3_20180830_5_2","",""
5,0,"4","4.17",6.9,4.5,"0.386396957115956","0",2.17,"","","","","","","09-REGI-2.3_20180830_5_3","",""
14,3.68,"12","8.5",6.46,5.05,"1.89883485428092","2.25",4.87,"","","","","","","09-REGI-2.3_20180830_5_4","",""
34,9.72,"17","10",5.28,6.52,"4.26845092332274","8.17",8.6,"","","","","","","09-REGI-2.7_20140813_5_1","",""
41,10,"23","10",4.91,6.99,"4.58585325138691","8.96",8.99,"","","","","","","09-REGI-2.7_20140813_5_2","",""
38,10,"19","10",4.98,6.9,"4.49319002213328","8.73",8.91,"","","","","","","09-REGI-2.7_20140813_5_3","",""
39,10,"20","10",4.77,7.16,"4.39618763821865","8.49",8.91,"","","","","","","09-REGI-2.7_20140813_5_4","",""
26,7.35,"13","9",3.62,8.38,"4.00388201237331","7.51",8.06,"","","","","","","09-REGI-2.7_20150820_5_1","",""
23,6.47,"13","9",5.63,6.09,"3.85944320858492","7.15",7.18,"","","","","","","09-REGI-2.7_20150820_5_2","",""
30,8.61,"16","10",4.48,7.52,"4.21366349204484","8.03",8.54,"","","","","","","09-REGI-2.7_20150820_5_3","",""
31,8.89,"13","9",5.02,6.85,"3.9575621234844","7.39",8.03,"","","","","","","09-REGI-2.7_20150820_5_4","",""
28,8.06,"14","9.5",4.29,7.71,"3.78457035730679","6.96",8.06,"","","","","","","09-REGI-2.7_20160706_5_1","",""
43,10,"21","10",4.71,7.24,"4.46354240351925","8.66",8.97,"","","","","","","09-REGI-2.7_20160706_5_2","",""
27,7.78,"11","8",5.12,6.72,"3.8741022371677","7.19",7.42,"","","","","","","09-REGI-2.7_20160706_5_3","",""
39,10,"20","10",4.21,7.79,"4.31296488547283","8.28",9.02,"","","","","","","09-REGI-2.7_20160810_5_1","",""
38,10,"21","10",4.61,7.36,"4.30565889537254","8.26",8.9,"","","","","","","09-REGI-2.7_20160810_5_2","",""
34,9.72,"17","10",4.8,7.12,"4.23403286287206","8.09",8.73,"","","","","","","09-REGI-2.7_20160810_5_3","",""
37,10,"20","10",4.69,7.26,"4.156333595305","7.89",8.79,"","","","","","","09-REGI-2.7_20160810_5_4","",""
38,10,"24","10",4.75,7.19,"3.71528776061968","6.79",8.5,"","","","","","","09-REGI-2.7_20160915_5_1","",""
34,9.72,"20","10",4.27,7.73,"3.58490242658724","6.46",8.48,"","","","","","","09-REGI-2.7_20160915_5_2","",""
18,4.85,"13","9",3.98,8.02,"2.65293101608961","4.13",6.5,"","","","","","","09-REGI-2.7_20160915_5_3","",""
18,4.85,"13","9",3.71,8.29,"2.55692958995537","3.89",6.51,"","","","","","","09-REGI-2.7_20160915_5_4","",""
21,5.88,"10","7.27",4.94,6.95,"3.29754575412604","5.74",6.46,"","","","","","","09-REGI-2.7_20170816_5_1","",""
35,10,"16","10",4.47,7.53,"4.18415426390894","7.96",8.87,"","","","","","","09-REGI-2.7_20170816_5_2","",""
26,7.35,"14","9.5",4.46,7.54,"4.12721004071891","7.82",8.05,"","","","","","","09-REGI-2.7_20170816_5_3","",""
26,7.35,"13","9",5.11,6.74,"3.41532552356451","6.04",7.28,"","","","","","","09-REGI-2.7_20170816_5_4","",""
26,7.35,"18","10",4.69,7.26,"3.38473880050642","5.96",7.64,"","","","","","","09-REGI-2.7_20180830_5_1","",""
13,3.38,"11","8",4.1,7.9,"3.48644866716835","6.22",6.38,"","","","","","","09-REGI-2.7_20180830_5_2","",""
20,5.59,"15","10",4.23,7.77,"3.14199650839463","5.35",7.18,"","","","","","","09-REGI-2.7_20180830_5_3","",""
10,2.27,"8","6.36",3.89,8.11,"2.21134179433993","3.03",4.94,"","","","","","","09-REGI-2.7_20180830_5_4","",""
28,8.06,"10","7.27",4.85,7.06,"4.08710228554906","7.72",7.53,"","","","","","","09-REGI-2.8_20140813_5_1","",""
23,6.47,"12","8.5",5.17,6.66,"3.44258220184499","6.11",6.94,"","","","","","","09-REGI-2.8_20140813_5_2","",""
24,6.76,"14","9.5",4.46,7.54,"4.04434923270399","7.61",7.85,"","","","","","","09-REGI-2.8_20140813_5_3","",""
29,8.33,"12","8.5",5.49,6.26,"3.88035784945259","7.2",7.57,"","","","","","","09-REGI-2.8_20140813_5_4","",""
18,4.85,"10","7.27",5.52,6.23,"3.29030372219212","5.73",6.02,"","","","","","","09-REGI-2.8_20150819_5_1","",""
17,4.56,"12","8.5",4.73,7.21,"3.11147188297506","5.28",6.39,"","","","","","","09-REGI-2.8_20150819_5_2","",""
13,3.38,"9","6.82",4.99,6.89,"3.06819073026619","5.17",5.56,"","","","","","","09-REGI-2.8_20150819_5_3","",""
20,5.59,"14","9.5",4.11,7.89,"3.68610882105192","6.72",7.42,"","","","","","","09-REGI-2.8_20150819_5_4","",""
36,10,"21","10",4.52,7.48,"4.43808091592308","8.6",9.02,"","","","","","","09-REGI-2.8_20160706_5_1","",""
27,7.78,"15","10",5.02,6.85,"3.88905655502627","7.22",7.96,"","","","","","","09-REGI-2.8_20160706_5_2","",""
25,7.06,"19","10",3.89,8.11,"4.01898700441362","7.55",8.18,"","","","","","","09-REGI-2.8_20160706_5_3","",""
24,6.76,"14","9.5",4.24,7.76,"3.92813077049599","7.32",7.84,"","","","","","","09-REGI-2.8_20160706_5_4","",""
27,7.78,"12","8.5",5.96,5.68,"3.31212325288899","5.78",6.94,"","","","","","","09-REGI-2.8_20160810_5_1","",""
25,7.06,"11","8",6.07,5.54,"3.10201264681049","5.26",6.46,"","","","","","","09-REGI-2.8_20160810_5_2","",""
41,10,"13","9",6.12,5.47,"4.27170830898568","8.18",8.16,"","","","","","","09-REGI-2.8_20160810_5_3","",""
34,9.72,"14","9.5",5.63,6.09,"4.52072227851759","8.8",8.53,"","","","","","","09-REGI-2.8_20160810_5_4","",""
18,4.85,"14","9.5",5.72,5.98,"2.62368827778595","4.06",6.1,"","","","","","","09-REGI-2.8_20160915_5_1","",""
14,3.68,"10","7.27",5.79,5.89,"3.02070904897049","5.05",5.47,"","","","","","","09-REGI-2.8_20160915_5_2","",""
15,3.97,"12","8.5",5.66,6.05,"2.92450722103568","4.81",5.83,"","","","","","","09-REGI-2.8_20160915_5_3","",""
18,4.85,"10","7.27",5.68,6.03,"3.07810952788704","5.2",5.84,"","","","","","","09-REGI-2.8_20160915_5_4","",""
34,9.72,"18","10",4.54,7.45,"4.14367101911464","7.86",8.76,"","","","","","","09-REGI-2.8_20170816_5_1","",""
31,8.89,"15","10",4.71,7.24,"4.0087237040576","7.52",8.41,"","","","","","","09-REGI-2.8_20170816_5_2","",""
25,7.06,"13","9",4.99,6.89,"3.76207324128169","6.91",7.46,"","","","","","","09-REGI-2.8_20170816_5_3","",""
36,10,"18","10",4.68,7.28,"4.36779201790417","8.42",8.93,"","","","","","","09-REGI-2.8_20170816_5_4","",""
30,8.61,"20","10",5.01,6.86,"3.502615659973","6.26",7.93,"","","","","","","09-REGI-2.8_20180830_5_1","",""
31,8.89,"21","10",4.9,7,"3.64920604937117","6.62",8.13,"","","","","","","09-REGI-2.8_20180830_5_2","",""
27,7.78,"19","10",4.69,7.26,"3.51276887400611","6.28",7.83,"","","","","","","09-REGI-2.8_20180830_5_3","",""
28,8.06,"12","8.5",4.66,7.3,"4.13256378352445","7.83",7.92,"","","","","","","09-REGI-2.8_20180830_5_4","",""
20,5.59,"11","8",5.98,5.65,"2.609726429223","4.02",5.81,"","","","","","","09-REGI-3.1_20140813_5_1","",""
22,6.18,"12","8.5",5.63,6.09,"3.37010699896561","5.93",6.68,"","","","","","","09-REGI-3.1_20140813_5_2","",""
33,9.44,"15","10",5.63,6.09,"3.60948815272858","6.52",8.01,"","","","","","","09-REGI-3.1_20140813_5_3","",""
21,5.88,"11","8",5.47,6.29,"3.36419706987774","5.91",6.52,"","","","","","","09-REGI-3.1_20140813_5_4","",""
17,4.56,"8","6.36",6.57,4.91,"2.87071358453754","4.68",5.13,"","","","","","","09-REGI-3.1_20150819_5_1","",""
14,3.68,"7","5.91",5.75,5.94,"2.68801587718556","4.22",4.94,"","","","","","","09-REGI-3.1_20150819_5_2","",""
26,7.35,"11","8",5.96,5.68,"3.59513190616404","6.49",6.88,"","","","","","","09-REGI-3.1_20150819_5_3","",""
14,3.68,"6","5.45",5.7,6,"2.76678510080776","4.42",4.89,"","","","","","","09-REGI-3.1_20150819_5_4","",""
25,7.06,"9","6.82",6.23,5.34,"3.24089106508883","5.6",6.2,"","","","","","","09-REGI-3.1_20160706_5_1","",""
15,3.97,"5","4.72",6.41,5.11,"1.89751177498774","2.24",4.01,"","","","","","","09-REGI-3.1_20160706_5_2","",""
18,4.85,"6","5.45",6.18,5.4,"2.90719548061892","4.77",5.12,"","","","","","","09-REGI-3.1_20160706_5_3","",""
24,6.76,"9","6.82",6.31,5.24,"3.09915824285871","5.25",6.02,"","","","","","","09-REGI-3.1_20160706_5_4","",""
19,5.29,"7","5.91",6.54,4.95,"2.37717463073093","3.44",4.9,"","","","","","","09-REGI-3.1_20160810_5_1","",""
25,7.06,"9","6.82",5.9,5.75,"3.37117086248735","5.93",6.39,"","","","","","","09-REGI-3.1_20160810_5_2","",""
25,7.06,"10","7.27",6.45,5.06,"2.35863109533167","3.4",5.7,"","","","","","","09-REGI-3.1_20160810_5_3","",""
23,6.47,"6","5.45",6.31,5.24,"3.48678940073078","6.22",5.84,"","","","","","","09-REGI-3.1_20160810_5_4","",""
24,6.76,"10","7.27",6.96,4.42,"2.21514022263661","3.04",5.37,"","","","","","","09-REGI-3.1_20160915_5_1","",""
19,5.29,"6","5.45",6.99,4.39,"1.89202375977657","2.23",4.34,"","","","","","","09-REGI-3.1_20160915_5_2","",""
24,6.76,"6","5.45",7.06,4.3,"2.37757033877036","3.44",4.99,"","","","","","","09-REGI-3.1_20160915_5_3","",""
18,4.85,"6","5.45",6.98,4.4,"2.13742071467076","2.84",4.38,"","","","","","","09-REGI-3.1_20160915_5_4","",""
21,5.88,"8","6.36",5.82,5.85,"2.48576827524565","3.71",5.45,"","","","","","","09-REGI-3.1_20170816_5_1","",""
13,3.38,"5","4.72",6.73,4.71,"1.07176353314139","0.18",3.25,"","","","","","","09-REGI-3.1_20170816_5_2","",""
17,4.56,"7","5.91",6.44,5.07,"2.2638414642413","3.16",4.68,"","","","","","","09-REGI-3.1_20170816_5_3","",""
12,3.09,"5","4.72",6.09,5.51,"2.17887043575907","2.95",4.07,"","","","","","","09-REGI-3.1_20170816_5_4","",""
23,6.47,"11","8",4.62,7.35,"3.24684616476446","5.62",6.86,"","","","","","","09-REGI-3.1_20180830_5_1","",""
21,5.88,"11","8",5.83,5.84,"3.78146080501968","6.95",6.67,"","","","","","","09-REGI-3.1_20180830_5_2","",""
8,1.36,"5","4.72",6.05,5.56,"2.27367396829258","3.18",3.7,"","","","","","","09-REGI-3.1_20180830_5_3","",""
17,4.56,"9","6.82",6.47,5.04,"2.82488144767506","4.56",5.24,"","","","","","","09-REGI-3.1_20180830_5_4","",""
23,6.47,"10","7.27",4.53,7.46,"3.88804332033727","7.22",7.1,"","","","","","","09-REGI-3.3_20140813_5_1","",""
20,5.59,"12","8.5",3.5,8.5,"3.74641834819061","6.87",7.36,"","","","","","","09-REGI-3.3_20140813_5_2","",""
20,5.59,"11","8",3.03,8.97,"3.28750317145895","5.72",7.07,"","","","","","","09-REGI-3.3_20140813_5_3","",""
29,8.33,"15","10",3.76,8.24,"4.09438292030176","7.74",8.58,"","","","","","","09-REGI-3.3_20140813_5_4","",""
