SITE_ID,chemical_name,sample_date,fraction,result_value,result_unit,validator_qualifiers,Project_name,sys_sample_code,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,interpreted_qualifiers,sample_delivery_group,qaqc_date,SH_LATITUDE,SH_LONGITUDE,SH_WQ_STANDARD,SH_PWL_ID,X,INFO_TYPE
13-DWAR-2.0,Aluminum,10/15/2019,total,152,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7429-90-5,2.3,ug/l,10,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,10/2/2018,total,194,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7429-90-5,2.3,ug/l,10,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,6/26/2019,total,617,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7429-90-5,2.3,ug/l,10,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,7/10/2018,total,308,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7429-90-5,11.5,ug/l,50,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,7/24/2018,total,1100,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7429-90-5,23,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,7/24/2019,total,528,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7429-90-5,2.3,ug/l,10,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,8/14/2019,total,446,ug/l,R,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7429-90-5,2.3,ug/l,10,N,lab error,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,8/15/2018,total,391,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7429-90-5,11.5,ug/l,50,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,9/17/2019,total,152,ug/l,R,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7429-90-5,2.3,ug/l,10,N,lab error ; Accuracy error,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Aluminum,9/6/2018,total,396,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7429-90-5,23,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,10/15/2019,total,0.89,ug/l,J,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7440-38-2,0.32,ug/l,1,J,estimated value due to lab error,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,10/2/2018,total,0.74,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7440-38-2,0.39,ug/l,1,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,6/26/2019,total,1.2,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7440-38-2,0.32,ug/l,1,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,7/10/2018,total,2.1,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7440-38-2,0.39,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,7/24/2018,total,1.7,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7440-38-2,0.39,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,7/24/2019,total,1.8,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7440-38-2,0.32,ug/l,1,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,8/14/2019,total,1.4,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7440-38-2,0.32,ug/l,1,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,8/15/2018,total,1.4,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7440-38-2,0.39,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,9/17/2019,total,1.2,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7440-38-2,0.32,ug/l,1,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Arsenic,9/6/2018,total,1.7,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7440-38-2,0.39,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,10/15/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7440-43-9,0.38,ug/l,1,U,Analyte was analyzed for but not detected,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,10/2/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,6/26/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7440-43-9,0.38,ug/l,1,U,Analyte was analyzed for but not detected,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,7/10/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,7/24/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,7/24/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7440-43-9,0.38,ug/l,1,U,Analyte was analyzed for but not detected,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,8/14/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7440-43-9,0.38,ug/l,1,U,Analyte was analyzed for but not detected,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,8/15/2018,total,0.58,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7440-43-9,0.064,ug/l,1,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,9/17/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7440-43-9,0.38,ug/l,1,U,Analyte was analyzed for but not detected,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Cadmium,9/6/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,10/15/2019,total,56100,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7440-70-2,110,ug/l,1000,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,10/2/2018,total,25400,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,6/26/2019,total,32800,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7440-70-2,110,ug/l,1000,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,7/10/2018,total,38900,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,7/24/2018,total,31700,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7440-70-2,110,ug/l,1000,E,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,7/24/2019,total,47000,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7440-70-2,110,ug/l,1000,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,8/14/2019,total,29600,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7440-70-2,110,ug/l,1000,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,8/15/2018,total,27700,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,9/17/2019,total,50900,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7440-70-2,110,ug/l,1000,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Calcium,9/6/2018,total,51200,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),10/15/2019,total,90.4,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,16887-00-6,0.9,mg/l,4,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),10/2/2018,total,30.2,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,16887-00-6,0.2,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),6/26/2019,total,32.9,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,16887-00-6,0.5,mg/l,2,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),7/10/2018,total,49.6,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,16887-00-6,0.2,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),7/24/2018,total,39.3,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,16887-00-6,0.2,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),7/24/2019,total,67.2,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,16887-00-6,0.5,mg/l,2,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),8/14/2019,total,33.8,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,16887-00-6,0.5,mg/l,2,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),8/15/2018,total,29.9,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,16887-00-6,0.2,mg/l,2,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),9/17/2019,total,68.4,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,16887-00-6,0.5,mg/l,2,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,CHLORIDE (AS CL),9/6/2018,total,60.1,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,16887-00-6,0.3,mg/l,4,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,10/15/2019,total,5.63,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,479-61-8,NA,ug/l,0.38,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,10/2/2018,total,0.92,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,479-61-8,NA,ug/l,0.08,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,6/26/2019,total,1.66,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,479-61-8,NA,ug/l,0.22,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,7/10/2018,total,4.77,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,479-61-8,NA,ug/l,0.34,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,7/24/2018,total,13.9,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,479-61-8,NA,ug/l,0.32,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,7/24/2019,total,6,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,479-61-8,NA,ug/l,0.37,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,8/14/2019,total,1.43,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,479-61-8,NA,ug/l,0.11,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,8/15/2018,total,1,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,479-61-8,NA,ug/l,0.08,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,9/17/2019,total,9.24,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,479-61-8,NA,ug/l,0.37,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Chlorophyll A,9/6/2018,total,12,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,479-61-8,NA,ug/l,0.53,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,10/15/2019,total,1.2,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7440-50-8,0.66,ug/l,1,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,10/2/2018,total,1.8,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,6/26/2019,total,2.4,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7440-50-8,0.66,ug/l,1,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,7/10/2018,total,3.3,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,7/24/2018,total,5.1,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7440-50-8,0.66,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,7/24/2019,total,1.7,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7440-50-8,0.66,ug/l,1,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,8/14/2019,total,1.5,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7440-50-8,0.66,ug/l,1,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,8/15/2018,total,3.1,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,9/17/2019,total,1.1,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7440-50-8,0.66,ug/l,1,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Copper,9/6/2018,total,1.9,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),10/15/2019,total,185,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,HARD,NA,mg/l,6.62,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),10/2/2018,total,82.4,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),6/26/2019,total,107,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,HARD,NA,mg/l,6.62,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),7/10/2018,total,126,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),7/24/2018,total,104,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,HARD,NA,mg/l,6.62,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),7/24/2019,total,150,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,HARD,NA,mg/l,6.62,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),8/14/2019,total,95.2,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,HARD,NA,mg/l,6.62,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),8/15/2018,total,90.5,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),9/17/2019,total,166,mg/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,HARD,NA,mg/l,6.62,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,HARDNESS (AS CACO3),9/6/2018,total,166,mg/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,10/15/2019,total,346,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7439-89-6,13,ug/l,100,,,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,10/2/2018,total,494,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,6/26/2019,total,1470,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7439-89-6,13,ug/l,100,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,7/10/2018,total,746,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,7/24/2018,total,2040,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7439-89-6,13,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,7/24/2019,total,1170,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7439-89-6,13,ug/l,100,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,8/14/2019,total,1140,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7439-89-6,13,ug/l,100,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,8/15/2018,total,1030,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,9/17/2019,total,362,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7439-89-6,13,ug/l,100,,,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Iron,9/6/2018,total,765,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,10/15/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-10152019-W,7439-92-1,0.57,ug/l,1,U,Analyte was analyzed for but not detected,R1910109,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,10/2/2018,total,0.43,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-10022018-W,7439-92-1,0.067,ug/l,1,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,6/26/2019,total,1.4,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-06262019-W,7439-92-1,0.57,ug/l,1,,,R1905963,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,7/10/2018,total,0.95,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-07102018-W,7439-92-1,0.067,ug/l,1,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,7/24/2018,total,1.9,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-04242018-WS,7439-92-1,0.067,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,7/24/2019,total,1.2,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-07242019-W,7439-92-1,0.57,ug/l,1,,,R1907020,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,8/14/2019,total,1.2,ug/l,A,Wallkill RAS 2019,13-DWAR-2.0-08142019-W,7439-92-1,0.57,ug/l,1,,,R1907828,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,8/15/2018,total,1.7,ug/l,A,Wallkill RAS 2018,13-DWAR-2.0-08152018-W,7439-92-1,0.067,ug/l,1,,,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,9/17/2019,total,NA,ug/l,U,Wallkill RAS 2019,13-DWAR-2.0-09172019-W,7439-92-1,0.57,ug/l,1,U,Analyte was analyzed for but not detected,R1909019,3/24/2020,41.62444,-74.19945,C,1306-0062,NA,NA
13-DWAR-2.0,Lead,9/6/2018,total,0.82,ug/l,J,Wallkill RAS 2018,13-DWAR-2.0-09062018-W,7439-92-1,0.067,ug/l,1,J,estimated value due to lab error,NA,NA,41.62444,-74.19945,C,1306-0062,NA,NA
