"HABITAT_FIELD_DATA_HISTORY_ID","EVENT_SMAS_ID","SITE_ID","BASIN","LOCATION","RIVMILE","COLL_DATE","COLL_DATE.1","HFDH_GRADIENT","HFDH_EPIFAUNAL_COVER","HFDH_EMBEDDEDNESS_POOLING","HFDH_VELOCITY_DEPTH_REGIME","HFDH_SEDIMENT_DEPOSITION","HFDH_FLOW_STATUS","HFDH_CHANNEL_ALTERATION","HFDH_RIFFLE_BEND_FREQUENCY","HFDH_LEFT_BANK_STABILITY","HFDH_RIGHT_BANK_STABILITY","HFDH_LEFT_BANK_VEG","HFDH_RIGHT_BANK_VEG","HFDH_LEFT_BANK_VEG_ZONE","HFDH_RIGHT_BANK_VEG_ZONE","HFDH_HABITAT_COMMENT","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
2547,"13-WKLEI-0.6_20180827","13-WKLEI-0.6",13,"WKLEI",0.6,"2018-08-27","08/27/2018","Low",5,5,5,6,12,15,7,2,2,9,8,9,6,"",NA,NA,NA,NA
2548,"13-POCH-1.8_20180828","13-POCH-1.8",13,"POCH",1.8,"2018-08-28","08/28/2018","High",13,11,5,12,20,15,5,8,6,4,4,3,5,"",NA,NA,NA,NA
2549,"13-QKER-0.9_20180828","13-QKER-0.9",13,"QKER",0.9,"2018-08-28","08/28/2018","Low",5,5,4,10,15,10,13,8,8,7,7,4,4,"",NA,NA,NA,NA
2550,"13-RIOG-0.7_20180828","13-RIOG-0.7",13,"RIOG",0.7,"2018-08-28","08/28/2018","Low",17,NA,14,15,15,16,13,6,6,6,6,4,4,"",NA,NA,NA,NA
2551,"13-RUTG-1.5_20180828","13-RUTG-1.5",13,"RUTG",1.5,"2018-08-28","08/28/2018","High",15,17,15,16,20,13,13,4,8,4,8,5,7,"",NA,NA,NA,NA
2552,"13-WALK-46.6_20180828","13-WALK-46.6",13,"WALK",46.6,"2018-08-28","08/28/2018","High",13,NA,NA,5,15,13,10,7,7,NA,8,7,8,"",NA,NA,NA,NA
2553,"13-WCHEE-0.6_20180828","13-WCHEE-0.6",13,"WCHEE",0.6,"2018-08-28","08/28/2018","High",11,17,13,13,19,17,14,9,7,5,4,6,4,"",NA,NA,NA,NA
2563,"13-WALK-44.4_20180906","13-WALK-44.4",13,"WALK",44.4,"2018-09-06","09/06/2018","High",13,13,11,14,19,14,13,8,8,5,6,5,7,"",NA,NA,NA,NA
2733,"13-PKIL-0.4_20190808","13-PKIL-0.4",13,"PKIL",0.4,"2019-08-08","08/08/2019","High",14,11,15,15,20,15,18,6,5,8,8,NA,4,"",NA,NA,NA,NA
2734,"13-POCH-1.8_20190808","13-POCH-1.8",13,"POCH",1.8,"2019-08-08","08/08/2019","High",10,18,10,16,12,12,5,5,6,8,2,5,1,"",NA,NA,NA,NA
2735,"13-RUTG-1.5_20190808","13-RUTG-1.5",13,"RUTG",1.5,"2019-08-08","08/08/2019","High",16,13,15,12,13,18,16,2,7,9,9,3,10,"",NA,NA,NA,NA
2736,"13-SWAK-1.7_20190808","13-SWAK-1.7",13,"SWAK",1.7,"2019-08-08","08/08/2019","High",15,17,18,18,20,18,20,10,10,9,9,10,7,"",NA,NA,NA,NA
2737,"13-TINW-0.5_20190808","13-TINW-0.5",13,"TINW",0.5,"2019-08-08","08/08/2019","High",9,9,12,4,16,18,12,5,8,6,6,4,10,"",NA,NA,NA,NA
2738,"13-DWAR-2.0_20190814","13-DWAR-2.0",13,"DWAR",2,"2019-08-14","08/14/2019","High",10,20,14,15,14,19,13,9,6,9,9,5,5,"",NA,NA,NA,NA
