"MACRO_SPECIES_SAMP_INF_HIST_ID","MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_SHANNON","MMDH_SHANNON_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_NCO_RICH","MMDH_NCO_RICH_SCORE","MMDH_PCT_DOMINANCE_3","MMDH_PCT_DOMINANCE_3_SCORE","MSSIH_EVENT_SMAS_HISTORY_ID","MSSIH_EVENT_SMAS_SAMPLE_DATE","MSSIH_BIOSAMPLE_COLLECT_METHOD_NUM","BIOSAMPLE_COLLECT_METHOD"
"01-BOUR-0.4_20150805_1_1",18,4.85,3,3.61,5.84,5.83,NA,NA,4.04,52,5.48,7.83,0.42,NA,NA,NA,NA,"01-BOUR-0.4","8/5/2015",1,"Kick:Standard"
"01-BOWE-5.2_20000913_1_1",18,4.85,4,4.17,7.31,3.99,NA,NA,4.37,46,4.44,6.24,4.4,NA,NA,NA,NA,"01-BOWE-5.2","9/13/2000",1,"Kick:Standard"
"01-BROC-0.1_20150805_1_1",29,8.33,13,9,4.34,7.66,NA,NA,7.32,66,7.69,6.43,3.93,NA,NA,NA,NA,"01-BROC-0.1","8/5/2015",1,"Kick:Standard"
"01-BSIS-11.4_20050913_1_1",17,4.56,4,4.17,5.09,6.76,NA,NA,4.91,54,5.81,6.7,3.25,NA,NA,NA,NA,"01-BSIS-11.4","9/13/2005",1,"Kick:Standard"
"01-BSIS-2.0_19930819_1_1",11,2.79,6,5.45,5.04,6.83,NA,NA,4.38,36,2.82,6.39,4.03,NA,NA,NA,NA,"01-BSIS-2.0","8/19/1993",1,"Kick:Standard"
"01-BSIS-2.0_19940824_1_1",23,6.47,12,8.5,4.94,6.95,NA,NA,7.13,72,8.27,5.82,5.45,NA,NA,NA,NA,"01-BSIS-2.0","8/24/1994",1,"Kick:Standard"
"01-BSIS-2.0_20000913_1_1",16,4.26,3,3.61,5.85,5.81,NA,NA,4.3,54,5.81,7.19,2.02,NA,NA,NA,NA,"01-BSIS-2.0","9/13/2000",1,"Kick:Standard"
"01-BSIS-2.0_20010702_1_1",25,7.06,10,7.27,5.55,6.19,NA,NA,6.17,61,6.94,6.65,3.37,NA,NA,NA,NA,"01-BSIS-2.0","7/2/2001",1,"Kick:Standard"
"01-BSIS-2.0_20050913_1_1",12,3.09,8,6.36,4.78,7.15,NA,NA,5.09,51,5.32,6.58,3.55,NA,NA,NA,NA,"01-BSIS-2.0","9/13/2005",1,"Kick:Standard"
"01-BSIS-2.0_20150805_1_1",26,7.35,12,8.5,5.44,6.32,NA,NA,7.28,83,9.33,6.05,4.88,NA,NA,NA,NA,"01-BSIS-2.0","8/5/2015",1,"Kick:Standard"
"01-BSIS-8.6_20100902_1_1",22,6.18,8,6.36,5.37,6.41,NA,NA,5.76,55,5.97,6.45,3.87,NA,NA,NA,NA,"01-BSIS-8.6","9/2/2010",1,"Kick:Standard"
"01-BSIS-8.6_20110705_1_1",27,7.78,10,7.27,5.22,6.6,NA,NA,6.34,65,7.6,7.02,2.45,NA,NA,NA,NA,"01-BSIS-8.6","7/5/2011",1,"Kick:Standard"
"01-BUFC-2.2_19880629_1_1",22,6.18,6,5.45,6.06,5.55,NA,NA,5.25,49,4.92,6.35,4.13,NA,NA,NA,NA,"01-BUFC-2.2","6/29/1988",1,"Kick:Standard"
"01-BUFC-2.2_19930818_1_1",22,6.18,10,7.27,4.76,7.18,NA,NA,6.8,67,7.79,5.77,5.58,NA,NA,NA,NA,"01-BUFC-2.2","8/18/1993",1,"Kick:Standard"
"01-BUFC-2.2_19940823_1_1",25,7.06,10,7.27,4.74,7.2,NA,NA,7.34,77,8.75,5.44,6.4,NA,NA,NA,NA,"01-BUFC-2.2","8/23/1994",1,"Kick:Standard"
"01-BUFC-2.2_20010703_1_1",19,5.29,10,7.27,5.47,6.29,NA,NA,5.26,53,5.65,7.28,1.8,NA,NA,NA,NA,"01-BUFC-2.2","7/3/2001",1,"Kick:Standard"
"01-BUFC-2.2_20050912_1_1",17,4.56,11,8,4.69,7.26,NA,NA,6.8,74,8.46,5.72,5.7,NA,NA,NA,NA,"01-BUFC-2.2","9/12/2005",1,"Kick:Standard"
"01-BUFC-2.2_20060822_1_1",28,8.06,13,9,5.24,6.57,NA,NA,6.94,69,7.98,6.76,3.1,NA,NA,NA,NA,"01-BUFC-2.2","8/22/2006",1,"Kick:Standard"
"01-BUFC-2.2_20100824_1_1",27,7.78,11,8,4.79,7.14,NA,NA,8,83,9.33,4.76,7.74,NA,NA,NA,NA,"01-BUFC-2.2","8/24/2010",1,"Kick:Standard"
"01-BUFC-2.2_20150805_1_1",19,5.29,9,6.82,5.24,6.57,NA,NA,6.95,79,8.94,5.14,7.15,NA,NA,NA,NA,"01-BUFC-2.2","8/5/2015",1,"Kick:Standard"
"01-BUFC-21.2_20000913_1_1",26,7.35,15,10,4.6,7.38,NA,NA,8.08,68,7.88,4.72,7.78,NA,NA,NA,NA,"01-BUFC-21.2","9/13/2000",1,"Kick:Standard"
"01-BUFC-21.2_20100825_1_1",32,9.17,15,10,4.77,7.16,NA,NA,8.13,73,8.37,5.61,5.97,NA,NA,NA,NA,"01-BUFC-21.2","8/25/2010",1,"Kick:Standard"
"01-BUFC-37.8_20150806_1_1",29,8.33,14,9.5,4.19,7.81,NA,NA,7.29,55,5.97,6.07,4.82,NA,NA,NA,NA,"01-BUFC-37.8","8/6/2015",1,"Kick:Standard"
"01-BUFC_T48-0.2_20100825_1_1",25,7.06,15,10,3.66,8.34,NA,NA,7.7,74,8.46,6.14,4.65,NA,NA,NA,NA,"01-BUFC_T48-0.2","8/25/2010",1,"Kick:Standard"
"01-BUFC_T59-0.8_20150806_1_1",23,6.47,11,8,3.64,8.36,NA,NA,6.7,73,8.37,7.08,2.3,NA,NA,NA,NA,"01-BUFC_T59-0.8","8/6/2015",1,"Kick:Standard"
"01-BUFF-1.7_19870623_2_1",31,10,0,0,8.6,3.5,3.44940517,9.75,5.81,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","6/23/1987",2,"Multiplate:Navigable"
"01-BUFF-1.7_19870728_2_1",11,2.14,0,0,7.8,5.5,1.752518538,1.26,2.23,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/28/1987",2,"Multiplate:Navigable"
"01-BUFF-1.7_19870903_2_1",13,3.41,0,0,9.5,1.25,2.308859774,4.04,2.17,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","9/3/1987",2,"Multiplate:Navigable"
"01-BUFF-1.7_19880628_2_1",14,3.86,0,0,9.34,1.65,1.468924079,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","6/28/1988",2,"Multiplate:Navigable"
"01-BUFF-1.7_19880802_2_1",21,7.27,2,3.5,9.42,1.45,2.327301871,4.14,4.09,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/2/1988",2,"Multiplate:Navigable"
"01-BUFF-1.7_19880908_2_1",17,5.45,0,0,9.68,0.8,2.277951225,3.89,2.54,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","9/8/1988",2,"Multiplate:Navigable"
"01-BUFF-1.7_19930715_2_1",27,10,0,0,8.33,4.17,3.082758217,7.91,5.52,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/15/1993",2,"Multiplate:Navigable"
"01-BUFF-1.7_19930818_2_1",33,10,3,4.5,7.85,5.38,3.986794761,10,7.47,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/18/1993",2,"Multiplate:Navigable"
"01-BUFF-1.7_19930922_2_1",21,7.27,1,1.5,8.55,3.62,2.685334515,5.93,4.58,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","9/22/1993",2,"Multiplate:Navigable"
"01-BUFF-1.7_20000718_2_1",15,4.32,2,3.5,7.45,6.38,2.821718737,6.61,5.2,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/18/2000",2,"Multiplate:Navigable"
"01-BUFF-1.7_20000822_2_1",21,7.27,0,0,7.69,5.77,2.24561202,3.73,4.19,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/22/2000",2,"Multiplate:Navigable"
"01-BUFF-1.7_20000926_2_1",24,9,4,6,7.2,7,3.310991743,9.05,7.76,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","9/26/2000",2,"Multiplate:Navigable"
"01-BUFF-1.7_20050722_2_1",24,9,2,3.5,7.49,6.27,3.183941577,8.42,6.8,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/22/2005",2,"Multiplate:Navigable"
"01-BUFF-1.7_20050823_2_1",15,4.32,4,6,7.69,5.77,1.929649472,2.15,4.56,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/23/2005",2,"Multiplate:Navigable"
"01-BUFF-1.7_20060822_2_1",3,0,0,0,9.98,0.05,0.85685684,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/22/2006",2,"Multiplate:Navigable"
"01-BUFF-1.7_20100708_2_1",24,9,4,6,7.81,5.48,3.745211729,10,7.62,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/8/2010",2,"Multiplate:Navigable"
"01-BUFF-1.7_20100812_2_1",11,2.14,1,1.5,8.03,4.93,2.713550457,6.07,3.66,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/12/2010",2,"Multiplate:Navigable"
"01-BUFF-1.7_20100914_2_1",21,7.27,3,4.5,7.89,5.28,2.950471979,7.25,6.08,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","9/14/2010",2,"Multiplate:Navigable"
"01-BUFF-1.7_20150708_2_1",23,8.5,1,1.5,7.01,7.48,3.54298709,10,6.87,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","7/8/2015",2,"Multiplate:Navigable"
"01-BUFF-1.7_20150813_2_1",8,0,3,4.5,7.95,5.12,1.024573068,0,2.41,NA,NA,NA,NA,NA,NA,NA,NA,"01-BUFF-1.7","8/13/2015",2,"Multiplate:Navigable"
"01-BULL-1.5_20050912_1_1",15,3.97,2,3.06,7.35,3.94,NA,NA,3.93,54,5.81,6.85,2.88,NA,NA,NA,NA,"01-BULL-1.5","9/12/2005",1,"Kick:Standard"
"01-BUTT-0.1_20000913_1_1",22,6.18,12,8.5,2.79,9.21,NA,NA,8.3,65,7.6,2.73,10,NA,NA,NA,NA,"01-BUTT-0.1","9/13/2000",1,"Kick:Standard"
"01-CATT-11.0_19940921_1_1",21,5.88,15,10,3.66,8.34,NA,NA,7.69,57,6.29,4.56,7.94,NA,NA,NA,NA,"01-CATT-11.0","9/21/1994",1,"Kick:Standard"
"01-CATT-17.5_19870519_1_1",30,8.61,5,4.72,5.51,6.24,NA,NA,7,63,7.26,4.31,8.19,NA,NA,NA,NA,"01-CATT-17.5","5/19/1987",1,"Kick:Standard"
"01-CATT-17.5_19870729_1_1",14,3.68,7,5.91,4.43,7.57,NA,NA,6.57,74,8.46,5.1,7.25,NA,NA,NA,NA,"01-CATT-17.5","7/29/1987",1,"Kick:Standard"
"01-CATT-17.5_19880629_1_1",22,6.18,12,8.5,4.21,7.79,NA,NA,7.81,74,8.46,4.37,8.13,NA,NA,NA,NA,"01-CATT-17.5","6/29/1988",1,"Kick:Standard"
"01-CATT-17.5_19880909_1_1",21,5.88,14,9.5,4.23,7.77,NA,NA,7.51,66,7.69,5.32,6.7,NA,NA,NA,NA,"01-CATT-17.5","9/9/1988",1,"Kick:Standard"
"01-CATT-17.5_19940921_1_1",20,5.59,12,8.5,3.63,8.37,NA,NA,7.55,63,7.26,4.49,8.01,NA,NA,NA,NA,"01-CATT-17.5","9/21/1994",1,"Kick:Standard"
"01-CATT-17.5_20000914_1_1",23,6.47,14,9.5,4.47,7.53,NA,NA,7.89,70,8.08,4.62,7.88,NA,NA,NA,NA,"01-CATT-17.5","9/14/2000",1,"Kick:Standard"
"01-CATT-17.5_20150805_1_1",19,5.29,9,6.82,3.57,8.43,NA,NA,7.52,78,8.85,4.3,8.2,NA,NA,NA,NA,"01-CATT-17.5","8/5/2015",1,"Kick:Standard"
"01-CATT-2.0_19870519_1_1",16,4.26,5,4.72,6.64,4.83,NA,NA,6.12,60,6.77,2.35,10,NA,NA,NA,NA,"01-CATT-2.0","5/19/1987",1,"Kick:Standard"
"01-CATT-2.0_19880629_1_1",18,4.85,7,5.91,4.45,7.55,NA,NA,7.09,66,7.69,3.05,9.45,NA,NA,NA,NA,"01-CATT-2.0","6/29/1988",1,"Kick:Standard"
"01-CATT-2.0_19940824_1_1",27,7.78,10,7.27,4.82,7.1,NA,NA,7.62,67,7.79,4.33,8.17,NA,NA,NA,NA,"01-CATT-2.0","8/24/1994",1,"Kick:Standard"
"01-CATT-2.0_19940921_1_1",20,5.59,9,6.82,4.57,7.41,NA,NA,7.16,62,7.1,3.63,8.87,NA,NA,NA,NA,"01-CATT-2.0","9/21/1994",1,"Kick:Standard"
"01-CATT-2.0_20010702_1_1",19,5.29,7,5.91,3.23,8.77,NA,NA,7.15,74,8.46,5.08,7.3,NA,NA,NA,NA,"01-CATT-2.0","7/2/2001",1,"Kick:Standard"
"01-CATT-2.0_20050913_1_1",28,8.06,19,10,4.18,7.82,NA,NA,8.24,75,8.56,5.29,6.78,NA,NA,NA,NA,"01-CATT-2.0","9/13/2005",1,"Kick:Standard"
"01-CATT-2.0_20060823_1_1",20,5.59,13,9,3.02,8.98,NA,NA,7.87,59,6.61,3.33,9.17,NA,NA,NA,NA,"01-CATT-2.0","8/23/2006",1,"Kick:Standard"
"01-CATT-2.0_20100902_1_1",31,8.89,11,8,5.22,6.6,NA,NA,7.28,74,8.46,6.21,4.47,NA,NA,NA,NA,"01-CATT-2.0","9/2/2010",1,"Kick:Standard"
"01-CATT-2.0_20110705_1_1",31,8.89,15,10,3.53,8.47,NA,NA,9.22,77,8.75,2.99,10,NA,NA,NA,NA,"01-CATT-2.0","7/5/2011",1,"Kick:Standard"
"01-CATT-27.3_19940921_1_1",19,5.29,13,9,4.26,7.74,NA,NA,7.49,64,7.42,4.49,8.01,NA,NA,NA,NA,"01-CATT-27.3","9/21/1994",1,"Kick:Standard"
"01-CATT-36.9_19940920_1_1",22,6.18,11,8,4.7,7.25,NA,NA,6.44,64,7.42,6.67,3.33,NA,NA,NA,NA,"01-CATT-36.9","9/20/1994",1,"Kick:Standard"
"01-CATT-42.8_19940920_1_1",16,4.26,9,6.82,4.48,7.52,NA,NA,6.55,60,6.77,5.04,7.4,NA,NA,NA,NA,"01-CATT-42.8","9/20/1994",1,"Kick:Standard"
"01-CATT-42.8_20000913_1_1",17,4.56,11,8,3.28,8.72,NA,NA,7.38,63,7.26,4.15,8.35,NA,NA,NA,NA,"01-CATT-42.8","9/13/2000",1,"Kick:Standard"
"01-CATT-46.9_20100825_1_1",28,8.06,9,6.82,5.05,6.81,NA,NA,7.09,60,6.77,5.2,7,NA,NA,NA,NA,"01-CATT-46.9","8/25/2010",1,"Kick:Standard"
"01-CATT-48.4_20150806_1_1",24,6.76,9,6.82,4.88,7.03,NA,NA,6.16,60,6.77,6.64,3.4,NA,NA,NA,NA,"01-CATT-48.4","8/6/2015",1,"Kick:Standard"
"01-CATT-53.0_19940920_1_1",31,8.89,10,7.27,5.29,6.51,NA,NA,6.97,66,7.69,6.2,4.5,NA,NA,NA,NA,"01-CATT-53.0","9/20/1994",1,"Kick:Standard"
"01-CATT-56.4_19940920_1_1",24,6.76,7,5.91,5.03,6.84,NA,NA,6.01,62,7.1,6.62,3.45,NA,NA,NA,NA,"01-CATT-56.4","9/20/1994",1,"Kick:Standard"
"01-CATT-56.4_20050913_1_1",18,4.85,8,6.36,4.8,7.12,NA,NA,5.64,42,3.79,5.57,6.07,NA,NA,NA,NA,"01-CATT-56.4","9/13/2005",1,"Kick:Standard"
"01-CATT-58.9_19940920_1_1",29,8.33,12,8.5,4.43,7.57,NA,NA,7.65,70,8.08,5.7,5.75,NA,NA,NA,NA,"01-CATT-58.9","9/20/1994",1,"Kick:Standard"
"01-CATT-64.4_20010702_1_1",25,7.06,10,7.27,3.98,8.02,NA,NA,6.73,58,6.45,6.06,4.85,NA,NA,NA,NA,"01-CATT-64.4","7/2/2001",1,"Kick:Standard"
"01-CATT_S-12.6_20000914_1_1",28,8.06,13,9,4.86,7.05,NA,NA,7.24,66,7.69,6.24,4.4,NA,NA,NA,NA,"01-CATT_S-12.6","9/14/2000",1,"Kick:Standard"
"01-CATT_S-12.6_20050913_1_1",31,8.89,14,9.5,4.77,7.16,NA,NA,7.55,65,7.6,6.15,4.62,NA,NA,NA,NA,"01-CATT_S-12.6","9/13/2005",1,"Kick:Standard"
"01-CATT_S-12.6_20060823_1_1",30,8.61,9,6.82,4.74,7.2,NA,NA,6.43,52,5.48,6.39,4.03,NA,NA,NA,NA,"01-CATT_S-12.6","8/23/2006",1,"Kick:Standard"
"01-CAZE-1.6_19940823_1_1",23,6.47,12,8.5,4.19,7.81,NA,NA,7.39,79,8.94,5.91,5.22,NA,NA,NA,NA,"01-CAZE-1.6","8/23/1994",1,"Kick:Standard"
"01-CAZE-1.6_20010703_1_1",24,6.76,9,6.82,5.27,6.54,NA,NA,5.77,52,5.48,6.71,3.23,NA,NA,NA,NA,"01-CAZE-1.6","7/3/2001",1,"Kick:Standard"
"01-CAZE-1.6_20050912_1_1",12,3.09,6,5.45,4.13,7.87,NA,NA,5.18,50,5.16,6.26,4.35,NA,NA,NA,NA,"01-CAZE-1.6","9/12/2005",1,"Kick:Standard"
"01-CAZE-1.6_20060822_1_1",22,6.18,10,7.27,4.94,6.95,NA,NA,6.43,72,8.27,6.61,3.47,NA,NA,NA,NA,"01-CAZE-1.6","8/22/2006",1,"Kick:Standard"
"01-CAZE-1.6_20150805_1_1",19,5.29,13,9,4.04,7.96,NA,NA,7.56,69,7.98,4.94,7.56,NA,NA,NA,NA,"01-CAZE-1.6","8/5/2015",1,"Kick:Standard"
"01-CAZE-14.5_19880629_1_1",26,7.35,12,8.5,5.46,6.3,NA,NA,6.64,58,6.45,6.15,4.62,NA,NA,NA,NA,"01-CAZE-14.5","6/29/1988",1,"Kick:Standard"
"01-CAZE_E-0.3_19870729_1_1",20,5.59,5,4.72,6.63,4.84,NA,NA,4.11,47,4.6,7.68,0.8,NA,NA,NA,NA,"01-CAZE_E-0.3","7/29/1987",1,"Kick:Standard"
"01-CAZE_E-0.3_19940823_1_1",29,8.33,12,8.5,5.15,6.69,NA,NA,6.94,60,6.77,6.23,4.42,NA,NA,NA,NA,"01-CAZE_E-0.3","8/23/1994",1,"Kick:Standard"
"01-CAZE_E-0.3_20050914_1_1",18,4.85,6,5.45,4.96,6.92,NA,NA,5.54,61,6.94,6.59,3.53,NA,NA,NA,NA,"01-CAZE_E-0.3","9/14/2005",1,"Kick:Standard"
"01-CAZE_E-0.3_20100825_1_1",26,7.35,15,10,5.36,6.42,NA,NA,6.83,62,7.1,6.68,3.3,NA,NA,NA,NA,"01-CAZE_E-0.3","8/25/2010",1,"Kick:Standard"
"01-CAZE_E-0.3_20110706_1_1",28,8.06,14,9.5,4.58,7.4,NA,NA,7.77,90,10,6.44,3.9,NA,NA,NA,NA,"01-CAZE_E-0.3","7/6/2011",1,"Kick:Standard"
"01-CAZE_E-15.7_20000914_1_1",32,9.17,11,8,4.74,7.2,NA,NA,7.33,56,6.13,5.54,6.15,NA,NA,NA,NA,"01-CAZE_E-15.7","9/14/2000",1,"Kick:Standard"
"01-CAZE_E-15.7_20100826_1_1",31,8.89,8,6.36,5.25,6.56,NA,NA,6.51,58,6.45,6.28,4.3,NA,NA,NA,NA,"01-CAZE_E-15.7","8/26/2010",1,"Kick:Standard"
"01-CAZE_T3-1.4_20150805_1_1",13,3.38,4,4.17,6.42,5.1,NA,NA,3.48,38,3.15,7.36,1.6,NA,NA,NA,NA,"01-CAZE_T3-1.4","8/5/2015",1,"Kick:Standard"
"01-CAZE_W-0.6_19870729_1_1",22,6.18,12,8.5,4.37,7.63,NA,NA,7.24,64,7.42,5.41,6.47,NA,NA,NA,NA,"01-CAZE_W-0.6","7/29/1987",1,"Kick:Standard"
"01-CAZE_W-0.6_19940823_1_1",24,6.76,12,8.5,4.29,7.71,NA,NA,7.54,63,7.26,5.02,7.45,NA,NA,NA,NA,"01-CAZE_W-0.6","8/23/1994",1,"Kick:Standard"
"01-CAZE_W-0.6_20050914_1_1",21,5.88,14,9.5,4.24,7.76,NA,NA,6.85,51,5.32,5.68,5.8,NA,NA,NA,NA,"01-CAZE_W-0.6","9/14/2005",1,"Kick:Standard"
"01-CAZE_W-0.6_20150806_1_1",20,5.59,11,8,4.28,7.72,NA,NA,7.16,69,7.98,5.4,6.5,NA,NA,NA,NA,"01-CAZE_W-0.6","8/6/2015",1,"Kick:Standard"
"01-CAZE_W-11.0_20100826_1_1",29,8.33,10,7.27,5.14,6.7,NA,NA,6.9,61,6.94,5.9,5.25,NA,NA,NA,NA,"01-CAZE_W-11.0","8/26/2010",1,"Kick:Standard"
"01-CHAU-0.4_19870519_1_1",26,7.35,7,5.91,5.12,6.72,NA,NA,6.01,55,5.97,6.36,4.1,NA,NA,NA,NA,"01-CHAU-0.4","5/19/1987",1,"Kick:Standard"
"01-CHAU-0.4_19870519_1_2",26,7.35,5,4.72,5.66,6.05,NA,NA,4.86,33,2.24,6.42,3.95,NA,NA,NA,NA,"01-CHAU-0.4","5/19/1987",1,"Kick:Standard"
"01-CHAU-0.4_19880628_1_1",23,6.47,4,4.17,6.89,4.51,NA,NA,4.27,42,3.79,7.03,2.42,NA,NA,NA,NA,"01-CHAU-0.4","6/28/1988",1,"Kick:Standard"
"01-CHAU-0.4_19930819_1_1",20,5.59,7,5.91,5.63,6.09,NA,NA,5.74,50,5.16,5.63,5.93,NA,NA,NA,NA,"01-CHAU-0.4","8/19/1993",1,"Kick:Standard"
"01-CHAU-0.4_19940824_1_1",27,7.78,12,8.5,5.08,6.78,NA,NA,7.51,83,9.33,5.94,5.15,NA,NA,NA,NA,"01-CHAU-0.4","8/24/1994",1,"Kick:Standard"
"01-CHAU-0.4_20010702_1_1",27,7.78,12,8.5,5.13,6.71,NA,NA,7.35,84,9.42,6.27,4.33,NA,NA,NA,NA,"01-CHAU-0.4","7/2/2001",1,"Kick:Standard"
"01-CHAU-0.4_20050913_1_1",27,7.78,10,7.27,5.42,6.35,NA,NA,6.81,68,7.88,6.09,4.78,NA,NA,NA,NA,"01-CHAU-0.4","9/13/2005",1,"Kick:Standard"
"01-CHAU-0.4_20100901_1_1",23,6.47,8,6.36,5.81,5.86,NA,NA,5.2,52,5.48,7.26,1.85,NA,NA,NA,NA,"01-CHAU-0.4","9/1/2010",1,"Kick:Standard"
"01-CHAU-0.4_20110705_1_1",26,7.35,7,5.91,6.67,4.79,NA,NA,4.9,44,4.11,7.06,2.35,NA,NA,NA,NA,"01-CHAU-0.4","7/5/2011",1,"Kick:Standard"
"01-CHAU-0.4_20150805_1_1",23,6.47,6,5.45,5.82,5.85,NA,NA,4.96,61,6.94,7.97,0.08,NA,NA,NA,NA,"01-CHAU-0.4","8/5/2015",1,"Kick:Standard"
"01-CHAU-14.9_20050913_1_1",22,6.18,9,6.82,4.46,7.54,NA,NA,5.97,40,3.47,5.67,5.83,NA,NA,NA,NA,"01-CHAU-14.9","9/13/2005",1,"Kick:Standard"
"01-CHAU-4.0_20150805_1_1",18,4.85,10,7.27,5.14,6.7,NA,NA,5.28,57,6.29,7.49,1.27,NA,NA,NA,NA,"01-CHAU-4.0","8/5/2015",1,"Kick:Standard"
"01-CLAR-0.6_20000914_1_1",25,7.06,14,9.5,4.93,6.96,NA,NA,7.43,71,8.17,5.82,5.45,NA,NA,NA,NA,"01-CLAR-0.6","9/14/2000",1,"Kick:Standard"
"01-CLAR-0.6_20050913_1_1",15,3.97,9,6.82,4.89,7.01,NA,NA,5.3,40,3.47,5.91,5.22,NA,NA,NA,NA,"01-CLAR-0.6","9/13/2005",1,"Kick:Standard"
"01-CLAR-0.6_20060823_1_1",33,9.44,10,7.27,4.55,7.44,NA,NA,7.16,54,5.81,5.67,5.83,NA,NA,NA,NA,"01-CLAR-0.6","8/23/2006",1,"Kick:Standard"
