station,Water.Collection.Test.Start.Date,Reproductive.Rate..Young..U.2640..7days....Control.,Porewater.EC50....,Porewater.Assessment,stationID,Latitude,Longitude
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],10/28/2008,26.9 (124),100,Non-toxic,13092100,42.35947,-74.05067
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],5/9/2011,19.2 (103),100,Non-toxic,12022301,42.30389,-74.4175
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],6/7/2011,21.1 (87),100,Non-toxic,12022301,42.30389,-74.4175
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],10/17/2011,22.1 (118),100,Non-toxic,12022301,42.30389,-74.4175
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],4/30/2007,23.9 (96),90,Non-toxic,11031011,43.09860992,-73.45805359
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],9/4/2007,23.4 (130),100,Non-toxic,11031011,43.09860992,-73.45805359
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],10/15/2007,21.9 (125),100,Non-toxic,11031011,43.09860992,-73.45805359
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],5/10/2016,21.0 (100),100,Non-toxic,3032209,43.73607,-75.97264
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],10/24/2016,15.0 (87),100,Non-toxic,3032209,43.73607,-75.97264
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],NOT SAMPLED,N/A,N/A,N/A,3032209,43.73607,-75.97264
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],5/12/2014,19.9 (89),100,Non-toxic,17025100,41.114134,-73.723948
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],8/4/2014,26.9 (113),100,Non-toxic,17025100,41.114134,-73.723948
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],10/28/2014,21.0 (103),90,Non-toxic,17025100,41.114134,-73.723948
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],4/27/2009,21.1 (76),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],8/4/2014,26.5 (111),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],8/18/2009,**11.6 (59),100,Slightly Toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],10/19/2009,26.5 (126),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],10/27/2014,27.9 (137),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],NOT SAMPLED,N/A,N/A,N/A,17024101,40.87900161,-73.56580352
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],4/7/2005,15.2 (60),100,Non-toxic,14032110,41.9463888,-74.9797222
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],7/5/2005,23.9 (71),90,Non-toxic,14032110,41.9463888,-74.9797222
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],10/11/2005,10.6 (76),100,Non-toxic,14032110,41.9463888,-74.9797222
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],5/6/2008,**7.8 (36),80,Slightly Toxic,8011201,43.89806,-75.49389
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],8/5/2008,24.2 (133),90,Non-toxic,8011201,43.89806,-75.49389
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],9/23/2008,25.8 (89),100,Non-toxic,8011201,43.89806,-75.49389
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],4/13/2004,16.3 (86),80,Non-toxic,17012702,40.771,-72.917
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],8/10/2004,24.8 (120),100,Non-toxic,17012702,40.771,-72.917
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],9/27/2004,31.3 (105),100,Non-toxic,17012702,40.771,-72.917
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],5/9/2011,14.2 (76),100,Non-toxic,12023100,42.489,-74.509
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],6/7/2011,12.5 (51),80,Non-toxic,12023100,42.489,-74.509
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],10/17/2011,25.5 (136),100,Non-toxic,12023100,42.489,-74.509
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],5/11/2015,18.0 (79),100,Non-toxic,4021601,42.833967,-77.89615
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],8/3/2015,**9.6 (39),70,Slightly Toxic,4021601,42.833967,-77.89615
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],10/26/2015,14.9 (85),90,Non-toxic,4021601,42.833967,-77.89615
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],4/27/2009,29.9 (102),100,Non-toxic,6011202,42.25749969,-75.44860839
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],8/18/2009,13.2 (85),90,Non-toxic,6011202,42.25749969,-75.44860839
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],10/19/2009,23.2 (133),100,Non-toxic,6011202,42.25749969,-75.44860839
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],4/28/2009,28.5 (97),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],8/17/2009,12.5 (81),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],10/19/2009,22.0 (126),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],5/6/2009,27.7 (127),100,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],8/26/2009,10.0 (60),80,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],10/27/2009,21.3 (133),100,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],5/14/2014,25.6 (102),100,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],8/4/2014,23.2 (101),100,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],10/27/2014,23.9 (114),90,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],5/6/2008,**14.5 (52),70,Slightly Toxic,5033401,42.353,-77.6598
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],8/6/2008,17.5 (89),80,Non-toxic,5033401,42.353,-77.6598
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],9/24/2008,19.1 (75),70,Non-toxic,5033401,42.353,-77.6598
Big Sister Creek @ Pontiac 01041208 (BSIS-01A) [INTENSIVE],5/3/2011,20.0 (163),100,Non-toxic,1041208,42.6242,-78.96895
Big Sister Creek @ Pontiac 01041208 (BSIS-01A) [INTENSIVE],6/14/2011,23.5 (104),100,Non-toxic,1041208,42.6242,-78.96895
Big Sister Creek @ Pontiac 01041208 (BSIS-01A) [INTENSIVE],10/12/2011,26.2 (119),100,Non-toxic,1041208,42.6242,-78.96895
Big Spring Creek @ Mumford 04022401 (BSPR-0.6) [INTENSIVE],5/13/2015,18.4 (81),90,Non-toxic,4022401,42.991944,-77.866183
Big Spring Creek @ Mumford 04022401 (BSPR-0.6) [INTENSIVE],8/5/2015,**6.7 (28),70,Slightly Toxic,4022401,42.991944,-77.866183
Big Spring Creek @ Mumford 04022401 (BSPR-0.6) [INTENSIVE],10/28/2015,10.0 (57),90,Non-toxic,4022401,42.991944,-77.866183
Bishop Brook @ West Fort Ann 10054100 (BISH-01) [INTENSIVE],5/6/2009,20.1 (92),80,Non-toxic,10054100,43.40399932,-73.53900146
Bishop Brook @ West Fort Ann 10054100 (BISH-01) [INTENSIVE],8/26/2009,19.1 (114),90,Non-toxic,10054100,43.40399932,-73.53900146
Bishop Brook @ West Fort Ann 10054100 (BISH-01) [INTENSIVE],10/27/2009,21.5 (134),100,Non-toxic,10054100,43.40399932,-73.53900146
Black Creek @ Belfast 04031502 (BLCB-01) [INTENSIVE],4/27/2010,22.9 (108),100,Non-toxic,4031502,42.31607,-78.13316
Black Creek @ Belfast 04031502 (BLCB-01) [INTENSIVE],7/28/2010,20.6 (105),100,Non-toxic,4031502,42.31607,-78.13316
Black Creek @ Belfast 04031502 (BLCB-01) [INTENSIVE],9/15/2010,20.9 (105),100,Non-toxic,4031502,42.31607,-78.13316
Black Creek @ Philadelphia 09065301 (BLAP-01) [INTENSIVE],6/14/2005,25.7 (92),100,Non-toxic,9065301,44.1486111,-75.7005555
Black Creek @ Philadelphia 09065301 (BLAP-01) [INTENSIVE],7/12/2005,25.5 (85),100,Non-toxic,9065301,44.1486111,-75.7005555
Black Creek @ Philadelphia 09065301 (BLAP-01) [INTENSIVE],10/18/2005,21.7 (93),100,Non-toxic,9065301,44.1486111,-75.7005555
Black Creek @ South Hammond 09054107 (BLAH-01) [INTENSIVE],5/3/2010,23.7 (104),100,Non-toxic,9054107,44.39335,-75.72928
Black Creek @ South Hammond 09054107 (BLAH-01) [INTENSIVE],7/26/2010,13.6 (72),80,Non-toxic,9054107,44.39335,-75.72928
Black Creek @ South Hammond 09054107 (BLAH-01) [INTENSIVE],9/20/2010,**16.8 (68),80,Slightly Toxic,9054107,44.39335,-75.72928
Black River @ Boonville 08010088 (BLCK-84.5) [ROUTINE],8/15/2017,***8.0 (N/A),***80,N/A,8010088,43.51167,-75.30666
Black River @ Boonville 08010088 (BLCK-84.5) [ROUTINE],10/17/2017,13.9 (65),90,Non-toxic,8010088,43.51167,-75.30666
Black River @ Boonville 08010088 (BLCK-84.5) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,8010088,43.51167,-75.30666
Black River @ Dexter 08010001 (BLCK-16) [ROUTINE],5/5/2008,33.4 (151),100,Non-toxic,8010001,44.0044444,-76.0452778
Black River @ Dexter 08010001 (BLCK-16) [ROUTINE],8/5/2013,17.4 (83),100,Non-toxic,8010001,44.0044444,-76.0452778
Black River @ Dexter 08010001 (BLCK-16) [ROUTINE],10/22/2013,25.7 (135),100,Non-toxic,8010001,44.0044444,-76.0452778
Black River @ Dexter 08010001 (BLCK-16) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,8010001,44.0044444,-76.0452778
Black River @ Enos 08010107 (BLCK-A) [INTENSIVE],4/30/2013,17.3 (71),100,Non-toxic,8010107,43.41083,-75.09564
Black River @ Enos 08010107 (BLCK-A) [INTENSIVE],8/8/2013,17.6 (84),100,Non-toxic,8010107,43.41083,-75.09564
Black River @ Enos 08010107 (BLCK-A) [INTENSIVE],10/22/2013,19.9 (104),100,Non-toxic,8010107,43.41083,-75.09564
Black River @ Hawkinsville 08010090 (BLCK-B) [INTENSIVE],5/7/2008,14.1 (64),80,Non-toxic,8010090,43.4938888,-75.2761111
Black River @ Hawkinsville 08010090 (BLCK-B) [INTENSIVE],8/6/2008,30.8 (169),100,Non-toxic,8010090,43.4938888,-75.2761111
Black River @ Hawkinsville 08010090 (BLCK-B) [INTENSIVE],9/23/2008,28.5 (99),100,Non-toxic,8010090,43.4938888,-75.2761111
Black River @ Lewis 10042401 (BLAR-01) [INTENSIVE],5/7/2009,22.7 (104),80,Non-toxic,10042401,44.23400115,-73.51000213
Black River @ Lewis 10042401 (BLAR-01) [INTENSIVE],8/25/2009,21.5 (129),100,Non-toxic,10042401,44.23400115,-73.51000213
Black River @ Lewis 10042401 (BLAR-01) [INTENSIVE],10/28/2009,22.6 (141),100,Non-toxic,10042401,44.23400115,-73.51000213
Black River @ Stephentown 13013203 (BLAG-00) [INTENSIVE],4/22/2013,16.3 (98),90,Non-toxic,13013203,42.57139,-73.40892
Black River @ Stephentown 13013203 (BLAG-00) [INTENSIVE],7/30/2013,17.0 (76),100,Non-toxic,13013203,42.57139,-73.40892
Black River @ Stephentown 13013203 (BLAG-00) [INTENSIVE],10/28/2013,22.4 (113),100,Non-toxic,13013203,42.57139,-73.40892
Black River @ Watertown 08010008 (BLCK-8.0) [ROUTINE],8/16/2017,***11.4 (N/A),***90,N/A,8010008,43.98472,-75.925
Black River @ Watertown 08010008 (BLCK-8.0) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,8010008,43.98472,-75.925
Black River @ Watertown 08010008 (BLCK-8.0) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,8010008,43.98472,-75.925
Blakesly Hollow @ Olean 02012400 (BLHL-01) [INTENSIVE],4/24/2012,**9.0 (54),100,Slightly Toxic,2012400,42.11237,-78.43509
Blakesly Hollow @ Olean 02012400 (BLHL-01) [INTENSIVE],9/18/2012,12.4 (83),70,Non-toxic,2012400,42.11237,-78.43509
Blakesly Hollow @ Olean 02012400 (BLHL-01) [INTENSIVE],10/29/2012,17.9 (109),100,Non-toxic,2012400,42.11237,-78.43509
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],4/12/2004,19.6 (103),100,Non-toxic,17022503,40.9830555,-73.6872222
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],4/28/2009,31.2 (112),100,Non-toxic,17022503,40.9830555,-73.6872222
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],8/11/2004,24.2 (118),100,Non-toxic,17022503,40.9830555,-73.6872222
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],8/24/2009,23.8 (104),80,Non-toxic,17022503,40.9830555,-73.6872222
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],9/27/2004,26.1 (88),100,Non-toxic,17022503,40.9830555,-73.6872222
Blind Brook @ Rye 17022503 (BLND-04) [INTENSIVE],10/20/2009,23.9 (114),100,Non-toxic,17022503,40.9830555,-73.6872222
Boquet River @ Elizabethtown 10041230 (BOQT-04) [INTENSIVE],5/14/2014,26.6 (106),100,Non-toxic,10041230,44.21778,-73.58556
Boquet River @ Elizabethtown 10041230 (BOQT-04) [INTENSIVE],8/7/2014,19.8 (87),90,Non-toxic,10041230,44.21778,-73.58556
Boquet River @ Elizabethtown 10041230 (BOQT-04) [INTENSIVE],10/29/2014,24.2 (115),100,Non-toxic,10041230,44.21778,-73.58556
Boquet River @ Willsboro [ROUTINE],4/18/2018,**8.7 (44),*40,Severely Toxic,10-BOQT-2.6,44.36389,?73.390881000
Boquet River @ Willsboro [ROUTINE],8/14/2018,32.6 (119),100,Non-toxic,10-BOQT-2.6,46.36389,?73.390881002
Boquet River @ Willsboro [ROUTINE],10/16/2018,15.1 (90),100,Non-toxic,10-BOQT-2.6,47.36389,?73.390881003
Boquet River @ Willsboro [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,10-BOQT-2.6,45.36389,?73.390881001
Boquet River @ Willsboro 10041203 (BOQT-07) [INTENSIVE],4/12/2004,11.5 (149),100,Non-toxic,10041203,44.363611,-73.391667
Boquet River @ Willsboro 10041203 (BOQT-07) [INTENSIVE],8/10/2004,15.2 (67),100,Non-toxic,10041203,44.363611,-73.391667
Boquet River @ Willsboro 10041203 (BOQT-07) [INTENSIVE],9/27/2004,30.0 (101),100,Non-toxic,10041203,44.363611,-73.391667
Bourne Creek @ Westfield 01053400 (BOUR-0.4) [INTENSIVE],5/11/2016,21.1 (128),100,Non-toxic,1053400,42.35706,-79.5515
Bourne Creek @ Westfield 01053400 (BOUR-0.4) [INTENSIVE],8/2/2016,16.7 (125),100,Non-toxic,1053400,42.35706,-79.5515
Bourne Creek @ Westfield 01053400 (BOUR-0.4) [INTENSIVE],10/26/2016,17.5 (109),100,Non-toxic,1053400,42.35706,-79.5515
Brandy Brook @ Waddington 09011102 (BRND-2.5) [INTENSIVE],5/11/2015,29.6 (114),100,Non-toxic,9011102,44.84972,-75.16417
Brandy Brook @ Waddington 09011102 (BRND-2.5) [INTENSIVE],8/6/2015,**13.7 (53),70,Slightly Toxic,9011102,44.84972,-75.16417
Brandy Brook @ Waddington 09011102 (BRND-2.5) [INTENSIVE],10/29/2015,20.2 (95),90,Non-toxic,9011102,44.84972,-75.16417
Bronx River @ Bronx 17023307 (BRNX-04) [INTENSIVE],4/12/2004,13.5 (71),90,Non-toxic,17023307,40.8783333,-73.8691666
Bronx River @ Bronx 17023307 (BRNX-04) [INTENSIVE],8/11/2004,22.1 (107),100,Non-toxic,17023307,40.8783333,-73.8691666
Bronx River @ Bronx 17023307 (BRNX-04) [INTENSIVE],9/27/2004,**20.4 (69),90,Slightly Toxic,17023307,40.8783333,-73.8691666
Bronx River @ New York [ROUTINE],4/18/2018,22.1 (113),60,Non-toxic,17-BRNX-5.6,40.88,?73.868610000
Bronx River @ New York [ROUTINE],6/13/2018,**7.3 (46),80,Slightly Toxic,17-BRNX-5.6,40.88,?73.868610001
Bronx River @ New York [ROUTINE],8/13/2018,36.9 (135),100,Non-toxic,17-BRNX-5.6,40.88,?73.868610002
Bronx River @ New York [ROUTINE],10/15/2018,**10.2 (61),100,Slightly Toxic,17-BRNX-5.6,40.88,?73.868610003
Bronx River @ Tuckahoe 17023312 (BRNX-03) [INTENSIVE],5/12/2014,22.1 (99),90,Non-toxic,17023312,40.959451,-73.821795
Bronx River @ Tuckahoe 17023312 (BRNX-03) [INTENSIVE],8/4/2014,22.5 (94),90,Non-toxic,17023312,40.959451,-73.821795
Bronx River @ Tuckahoe 17023312 (BRNX-03) [INTENSIVE],10/28/2014,21.8 (107),100,Non-toxic,17023312,40.959451,-73.821795
Buffalo Creek @ Arcade 01032337 (BUFC-37.8) [INTENSIVE],05-??-16,20.9 (127),90,Non-toxic,1032337,42.64,-78.462
Buffalo Creek @ Arcade 01032337 (BUFC-37.8) [INTENSIVE],8/3/2016,22.2 (166),90,Non-toxic,1032337,42.64,-78.462
Buffalo Creek @ Arcade 01032337 (BUFC-37.8) [INTENSIVE],10/25/2016,16.9 (105),100,Non-toxic,1032337,42.64,-78.462
Buffalo Creek @ Gardenville 01032311 (BUFC-03) [INTENSIVE],5/2/2006,30.5 (116),100,Non-toxic,1032311,42.854722,-78.754722
Buffalo Creek @ Gardenville 01032311 (BUFC-03) [INTENSIVE],7/13/2006,24.0 (125),100,Non-toxic,1032311,42.854722,-78.754722
Buffalo Creek @ Gardenville 01032311 (BUFC-03) [INTENSIVE],9/25/2006,18.4 (92),100,Non-toxic,1032311,42.854722,-78.754722
Buffalo Creek @ Gardenville 01032311 (BUFC-03) [INTENSIVE],10/18/2006,27.8 (122),90,Non-toxic,1032311,42.854722,-78.754722
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],5/2/2006,27.3 (103),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],5/4/2011,21.4 (174),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],6/13/2011,19.8 (87),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],8/1/2016,21.8 (163),90,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],9/25/2006,17.6 (88),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],10/13/2011,25.9 (111),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],10/18/2006,25.9 (114),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],10/24/2016,20.2 (126),100,Non-toxic,1031002,42.861667,-78.867778
Buffalo River @ Buffalo 01031002 (BUFF-07) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,1031002,42.861667,-78.867778
Butternut Creek @ Butternuts 06012102 (BTNT-01) [INTENSIVE],4/28/2004,19.8 (62),100,Non-toxic,6012102,42.4208333,-75.3602777
Butternut Creek @ Butternuts 06012102 (BTNT-01) [INTENSIVE],7/6/2004,21.5 (79),100,Non-toxic,6012102,42.4208333,-75.3602777
Butternut Creek @ Butternuts 06012102 (BTNT-01) [INTENSIVE],9/20/2004,22.0 (85),100,Non-toxic,6012102,42.4208333,-75.3602777
Butternut Creek @ Lafayette 07034621 (BNUT-01) [INTENSIVE],4/30/2007,21.6 (98),100,Non-toxic,7034621,42.9113888,-76.0708333
Butternut Creek @ Lafayette 07034621 (BNUT-01) [INTENSIVE],9/11/2007,25.6 (95),100,Non-toxic,7034621,42.9113888,-76.0708333
Butternut Creek @ Lafayette 07034621 (BNUT-01) [INTENSIVE],10/23/2007,22.0 (96),70,Non-toxic,7034621,42.9113888,-76.0708333
Callicoon Creek @ Callicoon 14011301 (CALL-0.2) [INTENSIVE],7/29/2015,11.3 (70),80,Non-toxic,14011301,41.7644444,-75.0558333
Callicoon Creek @ Callicoon 14011301 (CALL-0.2) [INTENSIVE],10/24/2015,***16.9 (N/A),***100,N/A,14011301,41.7644444,-75.0558333
Callicoon Creek @ Callicoon 14011301 (CALL-0.2) [INTENSIVE],NOT SAMPLED,N/A,N/A,N/A,14011301,41.7644444,-75.0558333
Cameron Creek @ Cameron 05013100 (USTE-01) [INTENSIVE],4/29/2013,24.1 (97),100,Non-toxic,5013100,42.19956,-77.40678
Cameron Creek @ Cameron 05013100 (USTE-01) [INTENSIVE],8/5/2013,17.6 (92),100,Non-toxic,5013100,42.19956,-77.40678
Cameron Creek @ Cameron 05013100 (USTE-01) [INTENSIVE],10/21/2013,23.5 (121),100,Non-toxic,5013100,42.19956,-77.40678
Canacadea Creek @ Hornell 05033302 (CDEA-01) [INTENSIVE],5/6/2008,30.3 (108),100,Non-toxic,5033302,42.33472,-77.68278
Canacadea Creek @ Hornell 05033302 (CDEA-01) [INTENSIVE],8/6/2008,27.4 (140),100,Non-toxic,5033302,42.33472,-77.68278
Canacadea Creek @ Hornell 05033302 (CDEA-01) [INTENSIVE],9/24/2008,28.2 (111),100,Non-toxic,5033302,42.33472,-77.68278
Canacadea Creek @ Hornellsville 05033302 (CDEA-1.8) [ROUTINE],8/16/2017,***19.5 (N/A),***90,N/A,5033302,42.33567,-77.68267
Canacadea Creek @ Hornellsville 05033302 (CDEA-1.8) [ROUTINE],10/17/2017,18.6 (87),90,Non-toxic,5033302,42.33567,-77.68267
Canacadea Creek @ Hornellsville 05033302 (CDEA-1.8) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,5033302,42.33567,-77.68267
