SITE_ID,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,SH_LATITUDE,SH_LONGITUDE,SH_PWL_ID,SH_WQ_STANDARD,INFO_TYPE,qaqc_date,X,sample_delivery_group,Project_name
13-MONH-0.4,13MONH-0.4_07192017_WS,Arsenic,7/19/2017,7440-38-2,total,NA,ug/l,0.389,ug/l,1,U,U,Analyte was analyzed for but not detected,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Arsenic,7/19/2017,7440-38-2,total,1.6,ug/l,0.389,ug/l,1,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Arsenic,7/19/2017,7440-38-2,total,0.68,ug/l,0.389,ug/l,1,J,J,estimated value due to lab error,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Arsenic,7/19/2017,7440-38-2,total,1.5,ug/l,0.389,ug/l,1,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Arsenic,7/19/2017,7440-38-2,total,0.85,ug/l,0.389,ug/l,1,J,J,estimated value due to lab error,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Cadmium,7/19/2017,7440-43-9,total,NA,ug/l,0.182,ug/l,1,U,U,Analyte was analyzed for but not detected,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Cadmium,7/19/2017,7440-43-9,total,NA,ug/l,0.182,ug/l,1,U,U,Analyte was analyzed for but not detected,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Cadmium,7/19/2017,7440-43-9,total,NA,ug/l,0.182,ug/l,1,U,U,Analyte was analyzed for but not detected,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Cadmium,7/19/2017,7440-43-9,total,NA,ug/l,0.182,ug/l,1,U,U,Analyte was analyzed for but not detected,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Cadmium,7/19/2017,7440-43-9,total,NA,ug/l,0.182,ug/l,1,U,U,Analyte was analyzed for but not detected,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,CHLORIDE (AS CL),7/19/2017,16887-00-6,total,202,mg/l,0.5,mg/l,8,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,CHLORIDE (AS CL),7/19/2017,16887-00-6,total,68.8,mg/l,0.2,mg/l,2,,R,Accuracy error,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,CHLORIDE (AS CL),7/19/2017,16887-00-6,total,66.4,mg/l,0.2,mg/l,2,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,CHLORIDE (AS CL),7/19/2017,16887-00-6,total,73.4,mg/l,0.2,mg/l,2,,R,Accuracy error,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,CHLORIDE (AS CL),7/19/2017,16887-00-6,total,247,mg/l,0.5,mg/l,8,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Chlorophyll A,7/19/2017,479-61-8,total,2.91,ug/l,NA,ug/l,0.15,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Chlorophyll A,7/19/2017,479-61-8,total,6.32,ug/l,NA,ug/l,0.21,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Chlorophyll A,7/19/2017,479-61-8,total,3.34,ug/l,NA,ug/l,0.089,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Chlorophyll A,7/19/2017,479-61-8,total,3.55,ug/l,NA,ug/l,0.11,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Chlorophyll A,7/19/2017,479-61-8,total,3.03,ug/l,NA,ug/l,0.12,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Conductivity at 25 Degrees Celsius,7/19/2017,COND,total,984,umhos/cm,NA,umhos/cm,NA,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Conductivity at 25 Degrees Celsius,7/19/2017,COND,total,548,umhos/cm,NA,umhos/cm,NA,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Conductivity at 25 Degrees Celsius,7/19/2017,COND,total,509,umhos/cm,NA,umhos/cm,NA,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Conductivity at 25 Degrees Celsius,7/19/2017,COND,total,562,umhos/cm,NA,umhos/cm,NA,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Conductivity at 25 Degrees Celsius,7/19/2017,COND,total,1170,umhos/cm,NA,umhos/cm,NA,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Copper,7/19/2017,7440-50-8,total,2.7,ug/l,0.652,ug/l,1,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Copper,7/19/2017,7440-50-8,total,7,ug/l,0.652,ug/l,1,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Copper,7/19/2017,7440-50-8,total,2.2,ug/l,0.652,ug/l,1,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Copper,7/19/2017,7440-50-8,total,3,ug/l,0.652,ug/l,1,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Copper,7/19/2017,7440-50-8,total,8.1,ug/l,0.652,ug/l,1,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,HARDNESS (AS CACO3),7/19/2017,HARD,total,233,mg/l,0.5,mg/l,13,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,HARDNESS (AS CACO3),7/19/2017,HARD,total,183,mg/l,0.5,mg/l,13,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,HARDNESS (AS CACO3),7/19/2017,HARD,total,177,mg/l,0.5,mg/l,13,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,HARDNESS (AS CACO3),7/19/2017,HARD,total,207,mg/l,0.5,mg/l,13,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,HARDNESS (AS CACO3),7/19/2017,HARD,total,210,mg/l,0.7,mg/l,20,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Iron,7/19/2017,7439-89-6,total,195,ug/l,55.4,ug/l,100,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Iron,7/19/2017,7439-89-6,total,1250,ug/l,55.4,ug/l,100,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Iron,7/19/2017,7439-89-6,total,845,ug/l,55.4,ug/l,100,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Iron,7/19/2017,7439-89-6,total,1760,ug/l,55.4,ug/l,100,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Iron,7/19/2017,7439-89-6,total,1220,ug/l,55.4,ug/l,100,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Lead,7/19/2017,7439-92-1,total,0.71,ug/l,0.405,ug/l,1,J,J,estimated value due to lab error,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Lead,7/19/2017,7439-92-1,total,1,ug/l,0.405,ug/l,1,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Lead,7/19/2017,7439-92-1,total,0.86,ug/l,0.405,ug/l,1,J,J,estimated value due to lab error,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Lead,7/19/2017,7439-92-1,total,1.9,ug/l,0.405,ug/l,1,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Lead,7/19/2017,7439-92-1,total,4.2,ug/l,0.405,ug/l,1,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Magnesium,7/19/2017,7439-95-4,total,9910,ug/l,110,ug/l,1000,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Magnesium,7/19/2017,7439-95-4,total,14300,ug/l,110,ug/l,1000,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Magnesium,7/19/2017,7439-95-4,total,12900,ug/l,110,ug/l,1000,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Magnesium,7/19/2017,7439-95-4,total,14300,ug/l,110,ug/l,1000,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Magnesium,7/19/2017,7439-95-4,total,11900,ug/l,110,ug/l,1000,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Nickel,7/19/2017,7440-02-0,total,3.4,ug/l,0.45,ug/l,1,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Nickel,7/19/2017,7440-02-0,total,3.1,ug/l,0.45,ug/l,1,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Nickel,7/19/2017,7440-02-0,total,2.6,ug/l,0.45,ug/l,1,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Nickel,7/19/2017,7440-02-0,total,3.3,ug/l,0.45,ug/l,1,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Nickel,7/19/2017,7440-02-0,total,4.8,ug/l,0.45,ug/l,1,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Nitrate+Nitrite as Nitrogen,7/19/2017,NO3NO2N,total,0.32,mg/l,0.0025,mg/l,0.0025,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Nitrate+Nitrite as Nitrogen,7/19/2017,NO3NO2N,total,1.28,mg/l,0.0025,mg/l,0.0025,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Nitrate+Nitrite as Nitrogen,7/19/2017,NO3NO2N,total,0.52,mg/l,0.0025,mg/l,0.0025,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Nitrate+Nitrite as Nitrogen,7/19/2017,NO3NO2N,total,0.67,mg/l,0.0025,mg/l,0.0025,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Nitrate+Nitrite as Nitrogen,7/19/2017,NO3NO2N,total,11.7,mg/l,0.025,mg/l,0.025,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,"Nitrogen, ammonia (As N)",7/19/2017,7664-41-7,total,0.02,mg/l,8.00E-04,mg/l,0.005,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"Nitrogen, ammonia (As N)",7/19/2017,7664-41-7,total,0.14,mg/l,8.00E-04,mg/l,0.005,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"Nitrogen, ammonia (As N)",7/19/2017,7664-41-7,total,0.05,mg/l,8.00E-04,mg/l,0.005,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"Nitrogen, ammonia (As N)",7/19/2017,7664-41-7,total,0.08,mg/l,8.00E-04,mg/l,0.005,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"Nitrogen, ammonia (As N)",7/19/2017,7664-41-7,total,0.1,mg/l,0.008,mg/l,0.05,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,"NITROGEN, NITRATE (AS N)",7/19/2017,14797-55-8,total,0.32,mg/l,NA,mg/l,0.01,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"NITROGEN, NITRATE (AS N)",7/19/2017,14797-55-8,total,1.23,mg/l,NA,mg/l,0.01,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"NITROGEN, NITRATE (AS N)",7/19/2017,14797-55-8,total,0.51,mg/l,NA,mg/l,0.01,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"NITROGEN, NITRATE (AS N)",7/19/2017,14797-55-8,total,0.66,mg/l,NA,mg/l,0.01,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"NITROGEN, NITRATE (AS N)",7/19/2017,14797-55-8,total,11.7,mg/l,NA,mg/l,0.01,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,"NITROGEN, NITRITE",7/19/2017,14797-65-0,total,NA,mg/l,0.002,mg/l,0.01,U,U,Analyte was analyzed for but not detected,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"NITROGEN, NITRITE",7/19/2017,14797-65-0,total,0.05,mg/l,0.002,mg/l,0.01,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"NITROGEN, NITRITE",7/19/2017,14797-65-0,total,0.01,mg/l,0.002,mg/l,0.01,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"NITROGEN, NITRITE",7/19/2017,14797-65-0,total,0.01,mg/l,0.002,mg/l,0.01,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"NITROGEN, NITRITE",7/19/2017,14797-65-0,total,0.04,mg/l,0.002,mg/l,0.01,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,PH,7/19/2017,PH,total,8.46,pH units,NA,pH units,NA,H,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,PH,7/19/2017,PH,total,7.82,pH units,NA,pH units,NA,H,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,PH,7/19/2017,PH,total,7.93,pH units,NA,pH units,NA,H,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,PH,7/19/2017,PH,total,7.7,pH units,NA,pH units,NA,H,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,PH,7/19/2017,PH,total,7.72,pH units,NA,pH units,NA,H,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,"PHOSPHORUS, TOTAL (AS P)",7/19/2017,7723-14-0,total,0.07,mg/l,0.002,mg/l,0.003,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"PHOSPHORUS, TOTAL (AS P)",7/19/2017,7723-14-0,total,0.65,mg/l,0.02,mg/l,0.03,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"PHOSPHORUS, TOTAL (AS P)",7/19/2017,7723-14-0,total,0.12,mg/l,0.004,mg/l,0.006,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"PHOSPHORUS, TOTAL (AS P)",7/19/2017,7723-14-0,total,0.09,mg/l,0.002,mg/l,0.003,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"PHOSPHORUS, TOTAL (AS P)",7/19/2017,7723-14-0,total,2.58,mg/l,0.08,mg/l,0.12,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Silver,7/19/2017,7440-22-4,total,NA,ug/l,0.131,ug/l,1,U,U,Analyte was analyzed for but not detected,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Silver,7/19/2017,7440-22-4,total,NA,ug/l,0.131,ug/l,1,U,U,Analyte was analyzed for but not detected,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Silver,7/19/2017,7440-22-4,total,NA,ug/l,0.131,ug/l,1,U,U,Analyte was analyzed for but not detected,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Silver,7/19/2017,7440-22-4,total,NA,ug/l,0.131,ug/l,1,U,U,Analyte was analyzed for but not detected,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Silver,7/19/2017,7440-22-4,total,NA,ug/l,0.131,ug/l,1,U,U,Analyte was analyzed for but not detected,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/19/2017,TDS,total,525,mg/l,4,mg/l,10,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/19/2017,TDS,total,312,mg/l,4,mg/l,10,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/19/2017,TDS,total,269,mg/l,4,mg/l,10,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/19/2017,TDS,total,297,mg/l,4,mg/l,10,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/19/2017,TDS,total,661,mg/l,4,mg/l,10,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,TURBIDITY,7/19/2017,TURB,total,3.09,ntu,0.06,ntu,0.1,,J,estimated value due to Equipment Blank error,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,TURBIDITY,7/19/2017,TURB,total,15.7,ntu,0.06,ntu,0.1,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,TURBIDITY,7/19/2017,TURB,total,18.5,ntu,0.06,ntu,0.1,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,TURBIDITY,7/19/2017,TURB,total,34.3,ntu,0.06,ntu,0.1,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,TURBIDITY,7/19/2017,TURB,total,37,ntu,0.06,ntu,0.1,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
